Title,"Image Link",Type,Seats,Speed,Range,"Price Per Hour"
"Legacy 650",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Legacy-650-PrivateFly-AA9745.jpg,LongRangeJets,13,"420 kts","3900 nm",5300
"Challenger 601",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Challenger-601-PrivateFly-AA9646.jpg,LongRangeJets,11,"424 kts","3200 nm",4103
"Challenger 604",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Challenger-604-PrivateFly-AA9694.jpg,LongRangeJets,10,"424 kts","4077 nm",4732
"A320 Prestige",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/A320-Prestige-PrivateFly-AA1587.jpg,LongRangeJets,58,"430 kts","2800 nm",12500
"Falcon 2000DX",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Falcon-2000DX-PrivateFly-AA9684.jpg,LongRangeJets,10,"430 kts","2975 nm",4500
"Falcon 2000EX EASy",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Falcon-2000EX-EASy-PrivateFly-AA9708.jpg,LongRangeJets,10,"431 kts","3828 nm",4228
"Challenger 600",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Challenger-600-PrivateFly-AA9637.jpg,LongRangeJets,10,"432 kts","2800 nm",4004
"Gulfstream GIV",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Gulfstream-GIV-PrivateFly-AA9770.jpg,LongRangeJets,13,"440 kts","4200 nm",4732
"Legacy 500",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Legacy-500-PrivateFly-AA9756.jpg,LongRangeJets,12,"440 kts","3000 nm",3300
"Falcon 2000LX",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Falcon-2000LX-PrivateFly-AA9713.jpg,LongRangeJets,10,"441 kts","4000 nm",5396
"Gulfstream G2",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Gulfstream-G2-PrivateFly-AA9847.jpg,LongRangeJets,13,"442 kts","3650 nm",4245
"Falcon 900 / 900EX",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Falcon-900-900EX-PrivateFly-AA9728.jpg,LongRangeJets,13,"447 kts","3800 nm",4931
"Falcon 900LX",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Falcon-900LX-PrivateFly-AA9733.jpg,LongRangeJets,13,"447 kts","3800 nm",4931
"A318 Elite",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/A318-Elite-PrivateFly-AA9573.jpg,LongRangeJets,18,"450 kts","3800 nm",14000
"Boeing 727 Executive",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Boeing-727-Executive-PrivateFly-AA9617.jpg,LongRangeJets,19,"450 kts","3900 nm",10000
"Boeing Business Jet - BBJ",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Boeing-Business-Jet-BBJ-PrivateFly-AA9621.jpg,LongRangeJets,30,"450 kts","6141 nm",15000
"Legacy 600",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Legacy-600-Executive-PrivateFly-AA9751.jpg,LongRangeJets,13,"450 kts","3250 nm",4504
"Airbus 319 Corporate Jet",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Airbus-319-Corporate-Jet-PrivateFly-AA9608.jpg,LongRangeJets,30,"450 kts","5900 nm",16000
"Hawker 1000",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Hawker-1000-PrivateFly-AA9765.jpg,LongRangeJets,8,"453 kts","3535 nm",4368
"Challenger 650",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Challenger-650-PrivateFly-AB9916.png,LongRangeJets,12,"455 kts","4000 nm",4840
"Challenger 300",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Challenger-300-PrivateFly-AA9632.jpg,LongRangeJets,8,"459 kts","3100 nm",4251
"Challenger 850",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Challenger-850-PrivateFly-AA9668.jpg,LongRangeJets,13,"459 kts","2292 nm",4274
"Gulfstream GV",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Gulfstream-GV-PrivateFly-AA9810.jpg,LongRangeJets,14,"459 kts","6250 nm",5187
"Gulfstream G450",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Gulfstream-G450-PrivateFly-AA9817.jpg,LongRangeJets,13,"459 kts","4200 nm",4958
"Challenger 605",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Challenger-605-PrivateFly-AA9653.jpg,LongRangeJets,10,"459 kts","4077 nm",4800
"Challenger 350",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Challenger-350-PrivateFly-AB6613.jpg,LongRangeJets,8,"460 kts","3200 nm",4300
"Praetor 600",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Praetor-600-PrivateFly-AC2793.jpg,LongRangeJets,12,"466 kts","3719 nm",6207
